freq,psd_x,psd_y,psd_z,psd_xyz
183.9,2.211e+04,3.704e+02,1.303e+03,2.378e+04
185.3,2.160e+04,3.144e+02,1.194e+03,2.311e+04
186.8,2.363e+04,3.171e+02,1.260e+03,2.521e+04
188.3,2.571e+04,3.626e+02,1.240e+03,2.732e+04
189.8,2.749e+04,4.543e+02,1.230e+03,2.917e+04
191.3,3.172e+04,5.428e+02,1.308e+03,3.357e+04
192.8,3.415e+04,5.901e+02,1.332e+03,3.607e+04
194.2,3.341e+04,6.046e+02,1.278e+03,3.529e+04
195.7,3.307e+04,6.388e+02,1.194e+03,3.490e+04
197.2,3.383e+04,7.487e+02,1.195e+03,3.578e+04
198.7,3.532e+04,8.830e+02,1.249e+03,3.746e+04
